[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:enderio:slicing>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:squeezer>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:supermartijn642corelib:dummy>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:scry_ritual>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ufo:dimensional_assembly>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:arc_furnace>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:chemical_infusing>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:budding_conversion>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:divinerpg:infusion_table>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:purifying>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:aether:block_placement_ban>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:skyfalltesla:space_time_breach>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:chicken_roost:basic_breeding>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:lychee:entity_ticking>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:blast_furnace_fuel>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:aether:ambrosium_enchanting>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:rotary>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:oritech:fuel_generator>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:lychee:block_exploding>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:apothic_enchanting:infusion>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:malum:void_favor>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:twilightforest:uncrafting>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:mining_lens>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ae2lt:lightning_strike>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:crushing>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:pigment_mixing>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:smelting>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:refinery>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:extendedae:circuit_cutter>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:extendedae:crystal_fixer>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:botanypots:fertilizer>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:skyfalltesla:ionization>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:aether:placement_conversion>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:bee_spawning>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:enderio:soul_binding>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:minecraft:campfire_cooking>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:lychee:category_metadata>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:deep_aether:glowing_spores_recipe>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:lychee:dripstone_dripping>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:enriching>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:oritech:grinder>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:divinerpg:fire_conversion>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:painting>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:mysticalagriculture:reprocessor>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:stellaris:rocket_station>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:ae2lt:lightning_simulation>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:skyfalltesla:quasar_calling>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:lychee:anvil_crafting>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:extendedae:crystal_assembler>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:deep_aether:combining>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:malum:spirit_repair>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:enderio:tank>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:malum:runeworking>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:oritech:pulverizer>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:minecraft:smelting>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:dye>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:bee_nbt_changer>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:justenoughbreeding:transformation>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:whitewashing>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:enchantment>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:oritech:reactor>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:extendedcrafting:combination>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:armor_upgrade>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:summon_ritual>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:modular_machinery_reborn:machine_recipe>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:minecraft:crafting>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:justenoughbreeding:trusting>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:woot_revived:stygian_anvil>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:bblcore:coloring>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:mixer>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:centrifuging>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:crush>
[17:30:43.439][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:blast_furnace>
[17:30:43.439][INFO][CraftTweaker-Commands]: List of 'recipetype' brackets generated!
[17:30:43.445][INFO][CraftTweaker-Commands]: Check the logs/crafttweaker.log file!
